診療科,H28対応項目,メモ,H28の記載,項目,検査項目,UID,Unnamed: 3,修正提案(20220302),査読コメント(20220302),チームからの返信（原案どおりなら１、修正案に賛成なら２）,チームからのコメント（あれば）,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,臓器,分類,項目名,H28表記,項目名(202004113)作業用,項目名(20220413),"座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)",座長・副座長コメント(20220411),チームからの修正提案(20220317),チームからのコメント(20220317),医学教育課修正案(20220317),医学教育課からのコメント(20220317),項目名(20220302査読直前),削除項目,追加項目,査読への返答,A,B,C,D,E,F,G,H,I,カテゴリ,サブカテゴリ,疾患,修正案(20220318),コメント(20220318),重要(20220318),重複(計算列),重複のため削除する項目に●(20220408),重要度分類(スリム化チーム作業用)(20220330),診断,治療,教育,予防,作成時(20220316コメント),修正案(20220316),パフォーマンス,基本的臨床手技,目標レベル,診察項目,医学教育課修正案(20220327),医学教育課からのコメント(20220327),Unnamed: 7,検査項目(20220302査読直前),Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,主要症候,検討すべき鑑別疾患,錦織
,"D-07-04-04-01,D-07-04-04-02,D-07-04-04-03,D-07-04-04-04",,,[別表]疾患,,Jlvnl5k,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,胆道疾患,なし,先天性胆道拡張症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-04-01,D-07-04-04-02,D-07-04-04-03,D-07-04-04-04",,,[別表]疾患,,Jlvnl5s,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,胆道疾患,なし,膵・胆管合流異常症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11",,,[別表]疾患,,Jlvnl50,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,肝疾患,肝炎,A 型,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11",,,[別表]疾患,,Jlvnl54,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,肝疾患,肝炎,B 型,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11",,,[別表]疾患,,Jlvnl6A,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,肝疾患,肝炎,C 型,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11",,,[別表]疾患,,Jlvnl6E,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,肝疾患,肝炎,D 型,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11",,,[別表]疾患,,Jlvnl6M,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,肝疾患,肝炎,E 型,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11",,,[別表]疾患,,Jlvnl6Q,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,肝疾患,肝炎,急性,,,●,重複あり,,,,,,,統合すべきか?,,,,,,,,,,,,,,,,,
,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11",,,[別表]疾患,,Jlvnl6Y,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,肝疾患,肝炎,慢性,,,●,重複あり,,,,,,,統合すべきか?,,,,,,,,,,,,,,,,,
,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11",,,[別表]疾患,,Jlvnl6g,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,肝疾患,肝炎,劇症型,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11",,,[別表]疾患,,Jlvnl6k,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,肝疾患,肝硬変および合併症,門脈圧亢進症,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11",,,[別表]疾患,,Jlvnl6s,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,肝疾患,肝硬変および合併症,肝性脳症,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11",,,[別表]疾患,,Jlvnl6w,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,肝疾患,肝硬変および合併症,肝癌,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11",,,[別表]疾患,,Jlvnl64,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,肝疾患,なし,アルコール性肝障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11",,,[別表]疾患,,Jlvnl68,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,肝疾患,なし,薬物性肝障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11",,,[別表]疾患,,Jlvnl7E,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,肝疾患,なし,肝膿瘍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11",,,[別表]疾患,,Jlvnl7I,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,肝疾患,なし,原発性胆汁性肝硬変<PBC>,,<PBC>を追加（岡崎）,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11",,,[別表]疾患,,Jlvnl7Q,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,肝疾患,なし,原発性硬化性胆管炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11",,,[別表]疾患,,Jlvnl7Y,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,肝疾患,なし,自己免疫性肝炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11",,,[別表]疾患,,Jlvnl7c,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,肝疾患,なし,脂肪肝,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-06-01,D-07-04-06-02,D-07-04-06-03",,,[別表]疾患,,Jlvnl7k,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,膵臓疾患,なし,急性膵炎（アルコール性・胆石性・特発性）,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-06-01,D-07-04-06-02,D-07-04-06-03",,,[別表]疾患,,Jlvnl7o,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,膵臓疾患,なし,慢性膵炎（アルコール性・特発性）,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-06-01,D-07-04-06-02,D-07-04-06-03",,,[別表]疾患,,Jlvnl7w,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,膵臓疾患,なし,自己免疫性膵炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-07-01,D-07-04-07-02,D-07-04-07-03",,,[別表]疾患,,Jlvnl70,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腹膜・腹壁・横隔膜疾患,なし,腹膜炎,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-07-01,D-07-04-07-02,D-07-04-07-03",,,[別表]疾患,,Jlvnl78,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腹膜・腹壁・横隔膜疾患,なし,ヘルニア（滑脱・嵌頓・絞扼）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-07-01,D-07-04-07-02,D-07-04-07-03",,,[別表]疾患,,Jlvnl8E,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腹膜・腹壁・横隔膜疾患,なし,鼠径部ヘルニア,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-08-01,D-07-04-08-02,D-07-04-08-03,D-07-04-08-04,D-07-04-08-05,D-07-04-08-06,D-07-04-08-07,D-07-04-08-08,D-07-04-08-09,D-07-04-08-10,D-07-04-08-11,D-07-04-08-12",,,[別表]疾患,,Jlvnl8I,,,,,,,,,,,,,,,,,消化器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腫瘍性疾患,なし,※腫瘍の項目を参照,,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-01-01,D-08-04-01-02, D-08-04-01-03, D-08-04-01-04, D-08-04-01-05,",,,[別表]疾患,,Jlvnl8Q,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腎機能の障害,なし,急性腎障害 <AKI>,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-01-01,D-08-04-01-02, D-08-04-01-03, D-08-04-01-04, D-08-04-01-05,",,,[別表]疾患,,Jlvnl8U,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腎機能の障害,なし,慢性腎臓病 <CKD>,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-01-01,D-08-04-01-02, D-08-04-01-03, D-08-04-01-04, D-08-04-01-05,",,,[別表]疾患,,Jlvnl8c,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腎機能の障害,なし,慢性腎不全,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-03-01-01,D-08-03-01-02,D-08-03-01-03,D-08-03-01-04",,,[別表]疾患,,Jlvnl8g,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,電解質異常,なし,高・低ナトリウム 血症,,Na→ナトリウムへ修正（岡崎／小松）,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-03-01-01,D-08-03-01-02,D-08-03-01-03,D-08-03-01-04",,,[別表]疾患,,Jlvnl8o,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,電解質異常,なし,高・低カリウム血症,,K→カリウムへ修正（岡崎／小松）,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-03-01-01,D-08-03-01-02,D-08-03-01-03,D-08-03-01-04",,,[別表]疾患,,Jlvnl8s,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,電解質異常,なし,高・低カルシウム 血症,,Ca→カルシウムへ修正（岡崎／小松）,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-03-01-01,D-08-03-01-02,D-08-03-01-03,D-08-03-01-04",,,[別表]疾患,,Jlvnl80,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,電解質異常,なし,高・低リン血症,,P→リンへ修正（岡崎／小松）,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-03-01-01,D-08-03-01-02,D-08-03-01-03,D-08-03-01-04",,,[別表]疾患,,Jlvnl84,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,電解質異常,なし,高・低マグネシウム血症,,Mg→マグネシウムへ修正（岡崎／小松）,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-09-01, D-08-04-09-02",,,[別表]疾患,,Jlvnl9A,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,酸・塩基平衡障害,なし,アシドーシス（代謝性・呼吸性）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-09-01, D-08-04-09-02",,,[別表]疾患,,Jlvnl9I,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,酸・塩基平衡障害,なし,アルカローシス（代謝性・呼吸性）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-02-01, D-08-04-02-02, D-08-04-02-03",,,[別表]疾患,,Jlvnl9M,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,原発性糸球体疾患,なし,急性糸球体腎炎,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-02-01, D-08-04-02-02, D-08-04-02-03",,,[別表]疾患,,Jlvnl9U,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,原発性糸球体疾患,なし,IgA腎症,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-02-01, D-08-04-02-02, D-08-04-02-03",,,[別表]疾患,,Jlvnl9Y,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,原発性糸球体疾患,なし,膜性腎症,,,●,,,●,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-02-01, D-08-04-02-02, D-08-04-02-03",,,[別表]疾患,,Jlvnl9g,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,原発性糸球体疾患,なし,巣状分節性糸球体硬化症,,,●○生坂,,,●,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-02-01, D-08-04-02-02, D-08-04-02-03",,,[別表]疾患,,Jlvnl9k,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,原発性糸球体疾患,なし,微小変化群,,,●,,,●,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-02-01, D-08-04-02-02, D-08-04-02-03",,,[別表]疾患,,Jlvnl9s,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,原発性糸球体疾患,なし,膜性増殖性糸球体腎炎,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-03-01, D-08-04-03-02",,,[別表]疾患,,Jlvnl90,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,高血圧および腎血管障害,なし,腎硬化症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-03-01, D-08-04-03-02",,,[別表]疾患,,Jlvnl94,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,高血圧および腎血管障害,なし,腎血管性高血圧症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-04-01,  D-08-04-05-01, D-08-04-05-02",,,[別表]疾患,,Jlvnl-A,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,尿細管・間質性疾患,なし,尿細管性アシドーシス,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-04-01,  D-08-04-05-01, D-08-04-05-02",,,[別表]疾患,,Jlvnl-E,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,尿細管・間質性疾患,なし,尿細管間質性腎炎（急性・慢性）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-04-01,  D-08-04-05-01, D-08-04-05-02",,,[別表]疾患,,Jlvnl-M,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,尿細管・間質性疾患,なし,腎盂腎炎（急性・慢性）,,,●慢性を削除 生坂,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-06-01, D-08-04-06-02, D-08-04-06-03, D-08-04-06-04,. D-08-04-06-05",,,[別表]疾患,,Jlvnl-Q,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,全身性疾患による腎障害,なし,糖尿病腎障害,,,●,,,●,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-06-01, D-08-04-06-02, D-08-04-06-03, D-08-04-06-04,. D-08-04-06-05",,,[別表]疾患,,Jlvnl-Y,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,全身性疾患による腎障害,なし,IgA血管炎(紫斑病性腎炎）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-06-01, D-08-04-06-02, D-08-04-06-03, D-08-04-06-04,. D-08-04-06-05",,,[別表]疾患,,Jlvnl-g,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,全身性疾患による腎障害,なし,アミロイド腎症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-06-01, D-08-04-06-02, D-08-04-06-03, D-08-04-06-04,. D-08-04-06-05",,,[別表]疾患,,Jlvnl-k,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,全身性疾患による腎障害,膠原病類縁疾患,ループス腎炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-06-01, D-08-04-06-02, D-08-04-06-03, D-08-04-06-04,. D-08-04-06-05",,,[別表]疾患,,Jlvnl-s,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,全身性疾患による腎障害,膠原病類縁疾患,血管炎症候群,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-06-01, D-08-04-06-02, D-08-04-06-03, D-08-04-06-04,. D-08-04-06-05",,,[別表]疾患,,Jlvnl-w,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,全身性疾患による腎障害,なし,抗糸球体基底膜病 <抗GBM病> (Goodpasture症候群),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-07-01, D-08-04-07-02",,,[別表]疾患,,Jlvnl-4,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,先天異常と外傷,なし,多発性嚢胞腎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-07-01, D-08-04-07-02",,,[別表]疾患,,Jlvnl-8,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,先天異常と外傷,なし,膀胱尿管逆流,,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-07-01, D-08-04-07-02",,,[別表]疾患,,Jlvnl_E,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,先天異常と外傷,なし,腎外傷,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-08-01, D-08-04-08-02, D-08-04-08-03",,,[別表]疾患,,Jlvnl_I,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,尿路疾患,なし,尿路結石,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-08-01, D-08-04-08-02, D-08-04-08-03",,,[別表]疾患,,Jlvnl_Q,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,尿路疾患,尿路の炎症,膀胱炎,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-08-01, D-08-04-08-02, D-08-04-08-03",,,[別表]疾患,,Jlvnl_U,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,尿路疾患,尿路の炎症,前立腺炎,,,●,重複あり,,●,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-08-01, D-08-04-08-02, D-08-04-08-03",,,[別表]疾患,,Jlvnl_c,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,尿路疾患,尿路の炎症,尿道炎,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-08-01, D-08-04-08-02, D-08-04-08-03",,,[別表]疾患,,Jlvnl_g,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,尿路疾患,なし,神経因性膀胱,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-08-04-09-01, D-08-04-09-02",,,[別表]疾患,,Jlvnl_o,,,,,,,,,,,,,,,,,腎・尿路系（体液・電解質バランスを含む）,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腫瘍性疾患,なし,※腫瘍の項目を参照,,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,"D-09-04-01-01,D-09-04-01-02,D-09-04-01-03",,,[別表]疾患,,Jlvnl_w,,,,,,,,,,,,,,,,,生殖機能,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,男性生殖器疾患,なし,男性不妊症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-09-04-01-01,D-09-04-01-02,D-09-04-01-03",,,[別表]疾患,,Jlvnl_0,,,,,,,,,,,,,,,,,生殖機能,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,男性生殖器疾患,なし,前立腺肥大症,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-09-04-01-01,D-09-04-01-02,D-09-04-01-03",,,[別表]疾患,,Jlvnl_8,,,,,,,,,,,,,,,,,生殖機能,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,男性生殖器疾患,なし,前立腺炎,,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,"D-09-04-01-01,D-09-04-01-02,D-09-04-01-03",,,[別表]疾患,,JlvnmAA,,,,,,,,,,,,,,,,,生殖機能,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,男性生殖器疾患,なし,停留精巣,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-09-04-01-01,D-09-04-01-02,D-09-04-01-03",,,[別表]疾患,,JlvnmAI,,,,,,,,,,,,,,,,,生殖機能,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,男性生殖器疾患,なし,陰嚢内腫瘤,,,,,,,,,,,,,,,,,,,,,,,,,,,,
